year,variable,material,application,level,value
2033,littering,PET,Bottle,Low,19130.897041029326
2034,littering,PET,Bottle,Low,19165.504353419037
2035,littering,PET,Bottle,Low,19197.463491527506
2036,littering,PET,Bottle,Low,19226.952950553172
2037,littering,PET,Bottle,Low,19254.472155543503
2038,littering,PET,Bottle,Low,19280.548165975488
2039,littering,PET,Bottle,Low,19305.398539500162
2040,littering,PET,Bottle,Low,19329.174094779424
2041,littering,PET,Bottle,Low,19351.962286905786
2042,littering,PET,Bottle,Low,19373.659911139832
2014,littering,PP,Bottle,Low,640.216
2015,littering,PP,Bottle,Low,636.374704
2016,littering,PP,Bottle,Low,636.397485750704
2017,littering,PP,Bottle,Low,647.9203766854959
2018,littering,PP,Bottle,Low,647.8512393398871
2019,littering,PP,Bottle,Low,647.8516541639608
2020,littering,PP,Bottle,Low,687.2364372750162
2021,littering,PP,Bottle,Low,730.56189617635
2022,littering,PP,Bottle,Low,725.074929022942
2023,littering,PP,Bottle,Low,720.8367520258624
2024,littering,PP,Bottle,Low,254.58896316784478
2025,littering,PP,Bottle,Low,279.032542220993
2026,littering,PP,Bottle,Low,280.5917169066741
2027,littering,PP,Bottle,Low,281.97040785855995
2028,littering,PP,Bottle,Low,283.0275697128486
2029,littering,PP,Bottle,Low,283.75708518172297
2030,littering,PP,Bottle,Low,284.4446567289097
2031,littering,PP,Bottle,Low,285.08835233962657
2032,littering,PP,Bottle,Low,285.68890072596224
2033,littering,PP,Bottle,Low,286.24781771564426
2034,littering,PP,Bottle,Low,286.76563281370613
2035,littering,PP,Bottle,Low,287.24382440311774
2036,littering,PP,Bottle,Low,287.68506309358133
2037,littering,PP,Bottle,Low,288.09682174143853
2038,littering,PP,Bottle,Low,288.4869864695514
2039,littering,PP,Bottle,Low,288.8588124811828
2040,littering,PP,Bottle,Low,289.21455648511295
2041,littering,PP,Bottle,Low,289.55552686108933
2042,littering,PP,Bottle,Low,289.8801795988335
2014,sent for sorting,Other,Other,Low,0.0
2015,sent for sorting,Other,Other,Low,0.0
2016,sent for sorting,Other,Other,Low,0.0
2017,sent for sorting,Other,Other,Low,0.0
2018,sent for sorting,Other,Other,Low,0.0
2019,sent for sorting,Other,Other,Low,0.0
2020,sent for sorting,Other,Other,Low,0.0
2021,sent for sorting,Other,Other,Low,0.0
2022,sent for sorting,Other,Other,Low,592.5214716923937
2023,sent for sorting,Other,Other,Low,1364.6900925011312
2024,sent for sorting,Other,Other,Low,2792.104812085872
2025,sent for sorting,Other,Other,Low,4293.762048407836
2026,sent for sorting,Other,Other,Low,6813.374624858281
2027,sent for sorting,Other,Other,Low,7383.041647890784
2028,sent for sorting,Other,Other,Low,7428.021116194015
2029,sent for sorting,Other,Other,Low,7464.5678007482775
2030,sent for sorting,Other,Other,Low,7492.606125004096
2031,sent for sorting,Other,Other,Low,7511.971421957685
2032,sent for sorting,Other,Other,Low,7530.180931099003
2033,sent for sorting,Other,Other,Low,7547.228918290655
2034,sent for sorting,Other,Other,Low,7563.13453135043
2035,sent for sorting,Other,Other,Low,7577.937760173052
2036,sent for sorting,Other,Other,Low,7591.652790186837
2037,sent for sorting,Other,Other,Low,7604.318602443605
2038,sent for sorting,Other,Other,Low,7616.005716953351
2039,sent for sorting,Other,Other,Low,7626.911186784988
2040,sent for sorting,Other,Other,Low,7637.243737290484
2041,sent for sorting,Other,Other,Low,7647.090264984458
2042,sent for sorting,Other,Other,Low,7656.510680430538
2014,sent for sorting,PE,PTT,Low,4903.993593
2015,sent for sorting,PE,PTT,Low,5075.001788388
2016,sent for sorting,PE,PTT,Low,5757.537053126318
2017,sent for sorting,PE,PTT,Low,5917.234470637881
2018,sent for sorting,PE,PTT,Low,5473.483482396257
2019,sent for sorting,PE,PTT,Low,5625.8626770075925
2020,sent for sorting,PE,PTT,Low,6831.605676173755
2021,sent for sorting,PE,PTT,Low,6631.917915621173
2022,sent for sorting,PE,PTT,Low,4740.413162198876
2023,sent for sorting,PE,PTT,Low,2729.6416873646176
2024,sent for sorting,PE,PTT,Low,3141.2767902835185
2025,sent for sorting,PE,PTT,Low,3578.192366316796
2026,sent for sorting,PE,PTT,Low,1362.7679084130145
2027,sent for sorting,PE,PTT,Low,1476.7062287850401
2028,sent for sorting,PE,PTT,Low,1485.6042272177629
2029,sent for sorting,PE,PTT,Low,1492.9135643055827
2030,sent for sorting,PE,PTT,Low,1498.5212243694068
2031,sent for sorting,PE,PTT,Low,1502.3942837601312
2032,sent for sorting,PE,PTT,Low,1506.0361862197785
2033,sent for sorting,PE,PTT,Low,1509.4457836581087
2034,sent for sorting,PE,PTT,Low,1512.62690563853
2035,sent for sorting,PE,PTT,Low,1515.587552034611
2036,sent for sorting,PE,PTT,Low,1518.3305580373449
2037,sent for sorting,PE,PTT,Low,1520.8637204887214
2038,sent for sorting,PE,PTT,Low,1523.2011427591146
2039,sent for sorting,PE,PTT,Low,1525.382237988553
2040,sent for sorting,PE,PTT,Low,1527.4487474580742
2041,sent for sorting,PE,PTT,Low,1529.4180529969137
2042,sent for sorting,PE,PTT,Low,1531.3021367176639
2014,Mechanical recycling,LDPE,Other,Low,3286.0
2015,Mechanical recycling,LDPE,Other,Low,3286.985598
2016,Mechanical recycling,LDPE,Other,Low,3117.632433389964
2017,Mechanical recycling,LDPE,Other,Low,2866.3621439286662
2018,Mechanical recycling,LDPE,Other,Low,3421.3879013332826
2019,Mechanical recycling,LDPE,Other,Low,3777.2064926378043
2020,Mechanical recycling,LDPE,Other,Low,3903.1077725713044
2021,Mechanical recycling,LDPE,Other,Low,3659.9330946210143
2022,Mechanical recycling,LDPE,Other,Low,6215.7056836508345
2023,Mechanical recycling,LDPE,Other,Low,6549.8850762873035
2024,Mechanical recycling,LDPE,Other,Low,5616.128497912553
2025,Mechanical recycling,LDPE,Other,Low,6173.527351980716
2026,Mechanical recycling,LDPE,Other,Low,4661.386185064121
2027,Mechanical recycling,LDPE,Other,Low,3083.2440899008184
2028,Mechanical recycling,LDPE,Other,Low,1174.282985535512
2029,Mechanical recycling,LDPE,Other,Low,1272.3862065106125
2030,Mechanical recycling,LDPE,Other,Low,1280.0530573927092
2031,Mechanical recycling,LDPE,Other,Low,1286.3510574492257
2032,Mechanical recycling,LDPE,Other,Low,1291.1828309953744
2033,Mechanical recycling,LDPE,Other,Low,1294.5200058705025
2034,Mechanical recycling,LDPE,Other,Low,1297.6580071499607
2035,Mechanical recycling,LDPE,Other,Low,1300.5958461396056
2036,Mechanical recycling,LDPE,Other,Low,1303.336821720562
2037,Mechanical recycling,LDPE,Other,Low,1305.887827159998
2038,Mechanical recycling,LDPE,Other,Low,1308.2513050940954
2039,Mechanical recycling,LDPE,Other,Low,1310.4339743944608
2040,Mechanical recycling,LDPE,Other,Low,1312.4479862446683
2041,Mechanical recycling,LDPE,Other,Low,1314.3273007759806
2042,Mechanical recycling,LDPE,Other,Low,1316.107883590194
2014,Mechanical recycling,LDPE,PTT,Low,143.0
2015,Mechanical recycling,LDPE,PTT,Low,143.443521
2016,Mechanical recycling,LDPE,PTT,Low,136.14247836919802
2017,Mechanical recycling,LDPE,PTT,Low,124.6003100613778
2018,Mechanical recycling,LDPE,PTT,Low,148.75609023701605
2019,Mechanical recycling,LDPE,PTT,Low,164.2266638660433
2020,Mechanical recycling,LDPE,PTT,Low,169.70033795384467
2021,Mechanical recycling,LDPE,PTT,Low,159.12752589349995
2022,Mechanical recycling,LDPE,PTT,Low,270.24807325369886
2023,Mechanical recycling,LDPE,PTT,Low,284.77761206675
2024,Mechanical recycling,LDPE,PTT,Low,255.27817423185215
2025,Mechanical recycling,LDPE,PTT,Low,293.97659869343715
2026,Mechanical recycling,LDPE,PTT,Low,3307.93503713462
2027,Mechanical recycling,LDPE,PTT,Low,6474.356455458152
2028,Mechanical recycling,LDPE,PTT,Low,0.11908566133752174
2029,Mechanical recycling,LDPE,PTT,Low,0.2330768323964909
2030,Mechanical recycling,LDPE,PTT,Low,4.2870838081465745e-06
2031,Mechanical recycling,LDPE,PTT,Low,8.390765966273535e-06
2032,Mechanical recycling,LDPE,PTT,Low,1.5433501709361474e-10
2033,Mechanical recycling,LDPE,PTT,Low,3.020675747858466e-10
2034,Mechanical recycling,LDPE,PTT,Low,5.556060615357809e-15
2035,Mechanical recycling,LDPE,PTT,Low,1.0874432692290237e-14
2036,Mechanical recycling,LDPE,PTT,Low,2.0001818214920576e-19
2037,Mechanical recycling,LDPE,PTT,Low,3.9147957692244494e-19
2038,Mechanical recycling,LDPE,PTT,Low,7.200654557393739e-24
2039,Mechanical recycling,LDPE,PTT,Low,1.4093264769208148e-23
2040,Mechanical recycling,LDPE,PTT,Low,2.5922356406582364e-28
2041,Mechanical recycling,LDPE,PTT,Low,5.073575316915031e-28
2042,Mechanical recycling,LDPE,PTT,Low,9.332048306336969e-33
2014,Mechanical recycling,Other,Other,Low,0.0
2015,Mechanical recycling,Other,Other,Low,0.0
2016,Mechanical recycling,Other,Other,Low,0.0
2017,Mechanical recycling,Other,Other,Low,0.0
2018,Mechanical recycling,Other,Other,Low,0.0
2019,Mechanical recycling,Other,Other,Low,0.0
2020,Mechanical recycling,Other,Other,Low,0.0
2021,Mechanical recycling,Other,Other,Low,0.0
2022,Mechanical recycling,Other,Other,Low,0.0
2023,Mechanical recycling,Other,Other,Low,0.0
2024,Mechanical recycling,Other,Other,Low,255.26950791304535
2025,Mechanical recycling,Other,Other,Low,587.9344209612448
2026,Mechanical recycling,Other,Other,Low,1202.891803038023
2027,Mechanical recycling,Other,Other,Low,1849.8342719330155
2028,Mechanical recycling,Other,Other,Low,2935.3312425068198
2029,Mechanical recycling,Other,Other,Low,3180.7546197026595
2030,Mechanical recycling,Other,Other,Low,3200.1326292575895
2031,Mechanical recycling,Other,Other,Low,3215.877635350572
2032,Mechanical recycling,Other,Other,Low,3227.957078168139
2033,Mechanical recycling,Other,Other,Low,3236.300016036388
2034,Mechanical recycling,Other,Other,Low,3244.145018555141
2035,Mechanical recycling,Other,Other,Low,3251.4896153490618
2036,Mechanical recycling,Other,Other,Low,3258.3420556618607
2037,Mechanical recycling,Other,Other,Low,3264.719567899994
2038,Mechanical recycling,Other,Other,Low,3270.6282634155023
2039,Mechanical recycling,Other,Other,Low,3276.084935986152
2040,Mechanical recycling,Other,Other,Low,3281.1199669721254
2041,Mechanical recycling,Other,Other,Low,3285.8182505795216
2042,Mechanical recycling,Other,Other,Low,3290.269709655749
2014,Mechanical recycling,Other,PTT,Low,285.0
2015,Mechanical recycling,Other,PTT,Low,285.14198700000003
2016,Mechanical recycling,Other,PTT,Low,270.768893504886
2017,Mechanical recycling,Other,PTT,Low,249.2006201227556
2018,Mechanical recycling,Other,PTT,Low,297.51280870624606
2019,Mechanical recycling,Other,PTT,Low,328.454025435641
2020,Mechanical recycling,Other,PTT,Low,339.40067593435595
2021,Mechanical recycling,Other,PTT,Low,318.25505184411145
2022,Mechanical recycling,Other,PTT,Low,540.4961465637906
2023,Mechanical recycling,Other,PTT,Low,569.5552241929267
2024,Mechanical recycling,Other,PTT,Low,765.8258561255905
2025,Mechanical recycling,Other,PTT,Low,1175.8876186202074
2026,Mechanical recycling,Other,PTT,Low,2706.5140242821653
2027,Mechanical recycling,Other,PTT,Low,4316.27291258105
2028,Mechanical recycling,Other,PTT,Low,1467.7414039779142
2029,Mechanical recycling,Other,PTT,Low,1590.4993981151158
2030,Mechanical recycling,Other,PTT,Low,1600.066317629059
2031,Mechanical recycling,Other,PTT,Low,1607.938822614636
2032,Mechanical recycling,Other,PTT,Low,1613.9785385400053
2033,Mechanical recycling,Other,PTT,Low,1618.1500074741991
2034,Mechanical recycling,Other,PTT,Low,1622.0725090054652
2035,Mechanical recycling,Other,PTT,Low,1625.7448076745118
2036,Mechanical recycling,Other,PTT,Low,1629.1710272867476
2037,Mechanical recycling,Other,PTT,Low,1632.3597839499967
2038,Mechanical recycling,Other,PTT,Low,1635.3141314356458
2039,Mechanical recycling,Other,PTT,Low,1638.0424679930763
2040,Mechanical recycling,Other,PTT,Low,1640.559982941881
2041,Mechanical recycling,Other,PTT,Low,1642.9091258339326
2042,Mechanical recycling,Other,PTT,Low,1645.1348545557692
2014,Mechanical recycling,PE,Film,Low,14894.0
2015,Mechanical recycling,PE,Film,Low,14895.091458
2016,Mechanical recycling,PE,Film,Low,14026.162217464465
2017,Mechanical recycling,PE,Film,Low,12836.468245777556
2018,Mechanical recycling,PE,Film,Low,15321.899360575277
2019,Mechanical recycling,PE,Film,Low,16915.35016620632
2020,Mechanical recycling,PE,Film,Low,17479.134809891013
2021,Mechanical recycling,PE,Film,Low,16390.135166130953
2022,Mechanical recycling,PE,Film,Low,27835.551543382888
2023,Mechanical recycling,PE,Film,Low,29332.09404103307
2024,Mechanical recycling,PE,Film,Low,26931.825698333225
2025,Mechanical recycling,PE,Film,Low,31749.42573347204
2026,Mechanical recycling,PE,Film,Low,33982.46253713018
2027,Mechanical recycling,PE,Film,Low,36380.80074315047
2028,Mechanical recycling,PE,Film,Low,41388.78330964127
2029,Mechanical recycling,PE,Film,Low,44849.01084436547
2030,Mechanical recycling,PE,Film,Low,45121.87010901303
2031,Mechanical recycling,PE,Film,Low,45343.874679406916
2032,Mechanical recycling,PE,Film,Low,45514.19479101655
2033,Mechanical recycling,PE,Film,Low,45631.830199449396
2034,Mechanical recycling,PE,Film,Low,45742.44474067646
2035,Mechanical recycling,PE,Film,Low,45846.0035788696
2036,Mechanical recycling,PE,Film,Low,45942.6229606158
2037,Mechanical recycling,PE,Film,Low,46032.54591201548
2038,Mechanical recycling,PE,Film,Low,46115.85849810463
2039,Mechanical recycling,PE,Film,Low,46192.79760583959
2040,Mechanical recycling,PE,Film,Low,46263.79152913677
2041,Mechanical recycling,PE,Film,Low,46330.037346775855
2042,Mechanical recycling,PE,Film,Low,46392.802886827754
2014,Mechanical recycling,PE,Other,Low,142.0
2015,Mechanical recycling,PE,Other,Low,142.396488
2016,Mechanical recycling,PE,Other,Low,135.23284042909202
2017,Mechanical recycling,PE,Other,Low,124.6003100613778
2018,Mechanical recycling,PE,Other,Low,148.75609023701605
2019,Mechanical recycling,PE,Other,Low,164.2266638660433
2020,Mechanical recycling,PE,Other,Low,169.70033795384467
2021,Mechanical recycling,PE,Other,Low,159.12752589349992
2022,Mechanical recycling,PE,Other,Low,270.24807325369886
2023,Mechanical recycling,PE,Other,Low,284.77761206675
2024,Mechanical recycling,PE,Other,Low,510.5476818937365
2025,Mechanical recycling,PE,Other,Low,881.911019654682
2026,Mechanical recycling,PE,Other,Low,1503.6222209061611
2027,Mechanical recycling,PE,Other,Low,2158.1470393821833
2028,Mechanical recycling,PE,Other,Low,2054.755687825462
2029,Mechanical recycling,PE,Other,Low,2226.5593104453683
2030,Mechanical recycling,PE,Other,Low,2240.092841881936
2031,Mechanical recycling,PE,Other,Low,2251.1143464083325
2032,Mechanical recycling,PE,Other,Low,2259.569954173575
2033,Mechanical recycling,PE,Other,Low,2265.4100104092736
2034,Mechanical recycling,PE,Other,Low,2270.901512716494
2035,Mechanical recycling,PE,Other,Low,2276.042731016401
2036,Mechanical recycling,PE,Other,Low,2280.839438147033
2037,Mechanical recycling,PE,Other,Low,2285.3036972579202
2038,Mechanical recycling,PE,Other,Low,2289.439784118736
2039,Mechanical recycling,PE,Other,Low,2293.2594554623824
2040,Mechanical recycling,PE,Other,Low,2296.78397606422
2041,Mechanical recycling,PE,Other,Low,2300.072776221933
2042,Mechanical recycling,PE,Other,Low,2303.188796486909
2014,Mechanical recycling,PE,PTT,Low,1720.0
2015,Mechanical recycling,PE,PTT,Low,1720.275219
2016,Mechanical recycling,PE,PTT,Low,1624.158542059263
2017,Mechanical recycling,PE,PTT,Low,1495.4812269950223
2018,Mechanical recycling,PE,PTT,Low,1785.0725454883368
2019,Mechanical recycling,PE,PTT,Low,1970.7171887425343
2020,Mechanical recycling,PE,PTT,Low,2036.4040561420452
2021,Mechanical recycling,PE,PTT,Low,1909.5303098299173
2022,Mechanical recycling,PE,PTT,Low,3242.9768776910337
2023,Mechanical recycling,PE,PTT,Low,3417.3313433747867
2024,Mechanical recycling,PE,PTT,Low,2042.2600581253578
2025,Mechanical recycling,PE,PTT,Low,1175.981502108737
2026,Mechanical recycling,PE,PTT,Low,1353.3217255131551
2027,Mechanical recycling,PE,PTT,Low,1541.5532570642356
2028,Mechanical recycling,PE,PTT,Low,587.1063075345863
2029,Mechanical recycling,PE,PTT,Low,636.1931007789422
2030,Mechanical recycling,PE,PTT,Low,640.0265275657293
2031,Mechanical recycling,PE,PTT,Low,643.1755288605669
2032,Mechanical recycling,PE,PTT,Low,645.5914153616035
2033,Mechanical recycling,PE,PTT,Low,647.260002935256
2034,Mechanical recycling,PE,PTT,Low,648.8290037110187
2035,Mechanical recycling,PE,PTT,Low,650.2979230698028
2036,Mechanical recycling,PE,PTT,Low,651.6684108602858
2037,Mechanical recycling,PE,PTT,Low,652.943913579999
2038,Mechanical recycling,PE,PTT,Low,654.125652683091
2039,Mechanical recycling,PE,PTT,Low,655.2169871972304
2040,Mechanical recycling,PE,PTT,Low,656.223993122339
2041,Mechanical recycling,PE,PTT,Low,657.1636503879903
2042,Mechanical recycling,PE,PTT,Low,658.0539419311401
2014,Mechanical recycling,PET,Bottle,Low,63074.0
2015,Mechanical recycling,PET,Bottle,Low,63078.15768868
2016,Mechanical recycling,PET,Bottle,Low,59826.021347638154
2017,Mechanical recycling,PET,Bottle,Low,55084.44629473
2018,Mechanical recycling,PET,Bottle,Low,65750.25025981673
2019,Mechanical recycling,PET,Bottle,Low,72588.30005434452
2020,Mechanical recycling,PET,Bottle,Low,75007.50501068587
2021,Mechanical recycling,PET,Bottle,Low,70334.44983031462
2022,Mechanical recycling,PET,Bottle,Low,119449.73035297301
2023,Mechanical recycling,PET,Bottle,Low,125871.43987466159
2024,Mechanical recycling,PET,Bottle,Low,113471.24616847748
2025,Mechanical recycling,PET,Bottle,Low,131407.48806023112
2026,Mechanical recycling,PET,Bottle,Low,125855.93737328057
2027,Mechanical recycling,PET,Bottle,Low,120242.57665059934
2028,Mechanical recycling,PET,Bottle,Low,117709.57532184207
2029,Mechanical recycling,PET,Bottle,Low,127549.91507905335
2030,Mechanical recycling,PET,Bottle,Low,128325.31455845402
2031,Mechanical recycling,PET,Bottle,Low,128956.68900346335
2032,Mechanical recycling,PET,Bottle,Low,129441.0744307594
2033,Mechanical recycling,PET,Bottle,Low,129775.62616586928
2034,Mechanical recycling,PET,Bottle,Low,130090.21076159518
2035,Mechanical recycling,PET,Bottle,Low,130384.72911568842
2036,Mechanical recycling,PET,Bottle,Low,130659.51191136561
2037,Mechanical recycling,PET,Bottle,Low,130915.25015993137
2038,Mechanical recycling,PET,Bottle,Low,131152.18883148578
2039,Mechanical recycling,PET,Bottle,Low,131371.00141814485
2040,Mechanical recycling,PET,Bottle,Low,131572.90611266583
2041,Mechanical recycling,PET,Bottle,Low,131761.30738995178
2042,Mechanical recycling,PET,Bottle,Low,131939.81081619492
2014,Mechanical recycling,PP,Bottle,Low,2439.0
2015,Mechanical recycling,PP,Bottle,Low,2439.2378790000002
2016,Mechanical recycling,PP,Bottle,Low,2313.664100659611
2017,Mechanical recycling,PP,Bottle,Low,2118.6215304311554
2018,Mechanical recycling,PP,Bottle,Low,2528.8594814917888
2019,Mechanical recycling,PP,Bottle,Low,2791.856619560967
2020,Mechanical recycling,PP,Bottle,Low,2884.9057457348113
2021,Mechanical recycling,PP,Bottle,Low,2705.1679400048956
2022,Mechanical recycling,PP,Bottle,Low,4594.217244805388
2023,Mechanical recycling,PP,Bottle,Low,4841.21940459993
2024,Mechanical recycling,PP,Bottle,Low,4339.728960434505
2025,Mechanical recycling,PP,Bottle,Low,4997.602180509278
2026,Mechanical recycling,PP,Bottle,Low,4962.0568685778
2027,Mechanical recycling,PP,Bottle,Low,4933.014864521023
2028,Mechanical recycling,PP,Bottle,Low,1761.3513976325862
2029,Mechanical recycling,PP,Bottle,Low,1908.5904033922725
2030,Mechanical recycling,PP,Bottle,Low,1920.079583594203
2031,Mechanical recycling,PP,Bottle,Low,1929.5265867092521
2032,Mechanical recycling,PP,Bottle,Low,1936.7742463569289
2033,Mechanical recycling,PP,Bottle,Low,1941.7800088057725
2034,Mechanical recycling,PP,Bottle,Low,1946.4870108609798
2035,Mechanical recycling,PP,Bottle,Low,1950.8937694814945
2036,Mechanical recycling,PP,Bottle,Low,1955.0052325808476
2037,Mechanical recycling,PP,Bottle,Low,1958.8317407400068
2038,Mechanical recycling,PP,Bottle,Low,1962.376957777186
2039,Mechanical recycling,PP,Bottle,Low,1965.650961863777
2040,Mechanical recycling,PP,Bottle,Low,1968.6719793670075
2041,Mechanical recycling,PP,Bottle,Low,1971.4909511639805
2042,Mechanical recycling,PP,Bottle,Low,1974.161825521334
2014,sent for sorting,PP,Bottle,Low,6985.890621
2015,sent for sorting,PP,Bottle,Low,7189.664344674001
2016,sent for sorting,PP,Bottle,Low,8156.532463421899
2017,sent for sorting,PP,Bottle,Low,8382.770658678706
2018,sent for sorting,PP,Bottle,Low,7754.101598807714
2019,sent for sorting,PP,Bottle,Low,7969.972128940239
2020,sent for sorting,PP,Bottle,Low,9678.108044215925
2021,sent for sorting,PP,Bottle,Low,9395.21705001315
2022,sent for sorting,PP,Bottle,Low,10073.206985844416
2023,sent for sorting,PP,Bottle,Low,11600.236248887068
2024,sent for sorting,PP,Bottle,Low,11517.729878621416
2025,sent for sorting,PP,Bottle,Low,11450.31872902779
2026,sent for sorting,PP,Bottle,Low,4088.3791049897673
2027,sent for sorting,PP,Bottle,Low,4430.144453685359
2028,sent for sorting,PP,Bottle,Low,4456.812683735404
2029,sent for sorting,PP,Bottle,Low,4478.740693212816
2030,sent for sorting,PP,Bottle,Low,4495.563673739851
2031,sent for sorting,PP,Bottle,Low,4507.182851280404
2032,sent for sorting,PP,Bottle,Low,4518.108558027802
2033,sent for sorting,PP,Bottle,Low,4528.337351605882
2034,sent for sorting,PP,Bottle,Low,4537.880716915567
2035,sent for sorting,PP,Bottle,Low,4546.762656103855
2036,sent for sorting,PP,Bottle,Low,4554.991673480477
2037,sent for sorting,PP,Bottle,Low,4562.5911620977195
2038,sent for sorting,PP,Bottle,Low,4569.603428277322
2039,sent for sorting,PP,Bottle,Low,4576.146713965681
2040,sent for sorting,PP,Bottle,Low,4582.346241742667
2041,sent for sorting,PP,Bottle,Low,4588.254158990743
2042,sent for sorting,PP,Bottle,Low,4593.906409521412
2014,sent for sorting,PE,Film,Low,42350.674436999994
2015,sent for sorting,PE,Film,Low,43561.295272698
2016,sent for sorting,PE,Film,Low,49418.94575419147
2017,sent for sorting,PE,Film,Low,50789.67883273629
2018,sent for sorting,PE,Film,Low,46980.73320957996
2019,sent for sorting,PE,Film,Low,48288.65466422413
2020,sent for sorting,PE,Film,Low,58637.94874127955
2021,sent for sorting,PE,Film,Low,56923.96212926371
2022,sent for sorting,PE,Film,Low,62513.08716266744
2023,sent for sorting,PE,Film,Low,73695.50956079476
2024,sent for sorting,PE,Film,Low,78878.74614891679
2025,sent for sorting,PE,Film,Low,84445.67380535786
2026,sent for sorting,PE,Film,Low,96070.00459506491
2027,sent for sorting,PE,Film,Low,104101.74770464038
2028,sent for sorting,PE,Film,Low,104735.09782301392
2029,sent for sorting,PE,Film,Low,105250.40603921117
2030,sent for sorting,PE,Film,Low,105645.74633666701
2031,sent for sorting,PE,Film,Low,105918.79698771269
2032,sent for sorting,PE,Film,Low,106175.55107986524
2033,sent for sorting,PE,Film,Low,106415.92775358004
2034,sent for sorting,PE,Film,Low,106640.19683583082
2035,sent for sorting,PE,Film,Low,106848.9224291767
2036,sent for sorting,PE,Film,Low,107042.30430437058
2037,sent for sorting,PE,Film,Low,107220.89231403347
2038,sent for sorting,PE,Film,Low,107385.68059704137
2039,sent for sorting,PE,Film,Low,107539.44776524679
2040,sent for sorting,PE,Film,Low,107685.13665095494
2041,sent for sorting,PE,Film,Low,107823.9727615442
2042,sent for sorting,PE,Film,Low,107956.80059280586
2014,sent for sorting,PET,Bottle,Low,180639.18654132
2015,sent for sorting,PET,Bottle,Low,186932.5186396094
2016,sent for sorting,PET,Bottle,Low,212069.8033176414
2017,sent for sorting,PET,Bottle,Low,217952.20819644112
2018,sent for sorting,PET,Bottle,Low,201606.3623673175
2019,sent for sorting,PET,Bottle,Low,207219.4235033166
2020,sent for sorting,PET,Bottle,Low,251630.72756063778
2021,sent for sorting,PET,Bottle,Low,244275.5575101323
2022,sent for sorting,PET,Bottle,Low,263384.8502724327
2023,sent for sorting,PET,Bottle,Low,305017.72586527426
2024,sent for sorting,PET,Bottle,Low,292131.6931687671
2025,sent for sorting,PET,Bottle,Low,279102.1888660696
2026,sent for sorting,PET,Bottle,Low,273222.68929373025
2027,sent for sorting,PET,Bottle,Low,296063.68673472834
2028,sent for sorting,PET,Bottle,Low,297863.51258655114
2029,sent for sorting,PET,Bottle,Low,299329.0333486336
2030,sent for sorting,PET,Bottle,Low,300453.369154875
2031,sent for sorting,PET,Bottle,Low,301229.9170698397
2032,sent for sorting,PET,Bottle,Low,301960.1180689384
2033,sent for sorting,PET,Bottle,Low,302643.74212134635
2034,sent for sorting,PET,Bottle,Low,303281.5567960639
2035,sent for sorting,PET,Bottle,Low,303875.1660407112
2036,sent for sorting,PET,Bottle,Low,304425.13847003505
2037,sent for sorting,PET,Bottle,Low,304933.03736664227
2038,sent for sorting,PET,Bottle,Low,305401.6903501414
2039,sent for sorting,PET,Bottle,Low,305838.99974952784
2040,sent for sorting,PET,Bottle,Low,306253.33465873357
2041,sent for sorting,PET,Bottle,Low,306648.1802844309
2042,sent for sorting,PET,Bottle,Low,307025.9387959303
2014,sent for sorting,PE,Other,Low,408.322812
2015,sent for sorting,PE,Other,Low,422.83833790799997
2016,sent for sorting,PE,Other,Low,479.7948988585898
2017,sent for sorting,PE,Other,Low,493.1035675626663
2018,sent for sorting,PE,Other,Low,456.1236233771483
2019,sent for sorting,PE,Other,Low,468.82188996965385
2020,sent for sorting,PE,Other,Low,569.3004732520589
2021,sent for sorting,PE,Other,Low,552.6598265324154
2022,sent for sorting,PE,Other,Low,1185.063058717783
2023,sent for sorting,PE,Other,Low,2047.0569302994577
2024,sent for sorting,PE,Other,Low,3490.1483474641586
2025,sent for sorting,PE,Other,Low,5009.405433330896
2026,sent for sorting,PE,Other,Low,4769.417522963151
2027,sent for sorting,PE,Other,Low,5168.201287420861
2028,sent for sorting,PE,Other,Low,5199.614784589204
2029,sent for sorting,PE,Other,Low,5225.197464383726
2030,sent for sorting,PE,Other,Low,5244.824286239872
2031,sent for sorting,PE,Other,Low,5258.379993475854
2032,sent for sorting,PE,Other,Low,5271.1266511377025
2033,sent for sorting,PE,Other,Low,5283.060243434948
2034,sent for sorting,PE,Other,Low,5294.194170050609
2035,sent for sorting,PE,Other,Low,5304.556431489605
2036,sent for sorting,PE,Other,Low,5314.156952499161
2037,sent for sorting,PE,Other,Low,5323.023022342057
2038,sent for sorting,PE,Other,Low,5331.203999972657
2039,sent for sorting,PE,Other,Low,5338.83783264418
2040,sent for sorting,PE,Other,Low,5346.070615471715
2041,sent for sorting,PE,Other,Low,5352.963185489189
2042,sent for sorting,PE,Other,Low,5359.5574775644645
2014,sent for sorting,HDPE,Other,Low,25337.986871999998
2015,sent for sorting,HDPE,Other,Low,26221.156484501997
2016,sent for sorting,HDPE,Other,Low,29747.335998530238
2017,sent for sorting,HDPE,Other,Low,30572.439213018497
2018,sent for sorting,HDPE,Other,Low,28279.664650714545
2019,sent for sorting,HDPE,Other,Low,29066.95717637671
2020,sent for sorting,HDPE,Other,Low,35296.62933877668
2021,sent for sorting,HDPE,Other,Low,34264.90924224197
2022,sent for sorting,HDPE,Other,Low,33182.44958524117
